Группа A,,,,,,,,,,,,Группа B,,,,,,,,,
№,Команда,,В,П,Карты,Очки,МЕСТО,,,,,№,Команда,,В,П,Карты,Очки,МЕСТО,,
1,WINLINE,,3,0,6-1,3,1,@yunghanamiya,WINLINE,,,1,SZW,,2,1,4-2,2,2,@vibeQVM,SZW
2,BlackGold,,0,3,0-6,0,4,@Mayntu,BG,,,2,CyBeR,,3,0,6-0,3,1,@handrikovart,CBR
3,РКС,,2,1,5-2,2,2,@Mineral04ka,RKS,,,3,Трон Застрахован,,1,2,2-4,1,3,@imperian_fly,TZR
4,ATLET,,1,2,2-4,1,3,@Ierofey,ATLET,,,4,АНО ВО ПМ,,0,3,0-6,0,4,@svobodnyiagent, @АНО ВО ПМ
,,,,,,,,,,,,,,,,,,,,,
Расписание группы A. Формат встреч Bo3 - до двух побед,,,,,,,,,,,,Расписание группы B. Формат встреч Bo3 - до двух побед,,,,,,,,,
Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья,,,Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья
30 мая,9:00,I,1,WINLINE,,2:0,BlackGold,,Дмитрий М,,,30 мая,12:00,I,1,SZW,,0:2,CyBeR,,Егор С
30 мая,11:00,I,2,РКС,,2:0,ATLET,,Дарья К,,,30 мая,12:00,I,2,Трон Застрахован,,2:0 (ТП),АНО ВО ПМ,,Мария Б
31 мая,12:00,II,3,ATLET,,2:0,BlackGold,,Александр Р,,,31 мая,12:00,II,3,АНО ВО ПМ,,0:2,CyBeR,,Анастасия Т
31 мая,12:00,II,4,WINLINE,,2:1,РКС,,Артем М,,,31 мая,12:00,II,4,SZW,,2:0,Трон Застрахован,,Егор С
31 мая,15:30,III,5,ATLET,,0:2,WINLINE,,Александр Р,,,31 мая,15:30,III,5,АНО ВО ПМ,,0:2,SZW,,Анастасия Т
31 мая,9:00,III,6,BlackGold,,0:2,РКС,,Александр Р,,,31 мая,15:30,III,6,CyBeR,,2:0,Трон Застрахован,,Егор С
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Группа C,,,,,,,,,,,,Группа D,,,,,,,,,
№,Команда,,В,П,Карты,Очки,МЕСТО,,,,,№,Команда,,В,П,Карты,Очки,МЕСТО,,
1,Evil Masters,,2,0,4-0,2,1,@xxxxmis58,EM,,,1,VK Esports,,3,0,6-0,3,1,@Haarhusss,VK
2,PowerCreeps,,1,1,2-2,1,2,@runaawayfromme,Creeps,,,2,NoBugs,,1,2,3-4,1,3,@gareeev,NB
3,Московский транспорт,,0,2,0-4,0,3,@LevEgor,MT,,,3,Kryptonite,,0,3,0-6,0,4,@LuFF71,Kryptonite
4,Вкусвилл,,,,,,-,,,,,4,СМ-Клиника,,2,1,4-3,2,2,@gxdsyndrxme,СМ
,,,,,,,,,,,,,,,,,,,,,
Расписание группы C. Формат встреч Bo3 - до двух побед,,,,,,,,,,,,Расписание группы D. Формат встреч Bo3 - до двух побед,,,,,,,,,
Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья,,,Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья
31 мая,18:00,I,1,Evil Masters,,2:0,PowerCreeps,,Лера,,,30 мая,12:00,I,3,СМ-Клиника,,2:1,NoBugs,,Денис М
30 мая,12:00,I,2,Московский транспорт,,,Вкусвилл,,,,,29 мая,21:00,I,4,VK Esports,,2:0,Kryptonite,,Лера
31 мая,12:00,II,3,Вкусвилл,,,PowerCreeps,,,,,31 мая,12:00,II,1,VK Esports,,2:0,NoBugs,,Денис М
31 мая,12:00,II,4,Evil Masters,,2:0,Московский транспорт,,Владимир Г,,,31 мая,12:00,II,2,Kryptonite,,0:2,СМ-Клиника,,Леша
31 мая,15:30,III,5,Вкусвилл,,,Evil Masters,,,,,31 мая,15:30,III,5,СМ-Клиника,,(тп) 0:2 ,VK Esports,,Денис М
31 мая,15:30,III,6,PowerCreeps,,2:0,Московский транспорт,,Артем М,,,31 мая,15:30,III,6,NoBugs,,2:0,Kryptonite,,Леша
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Группа E,,,,,,,,,,,,Группа F,,,,,,,,,
№,Команда,,В,П,Карты,Очки,МЕСТО,,,,,№,Команда,,В,П,Карты,Очки,МЕСТО,,
1,KOMPETENTNO,,1,1,2-2,1,2,@Ivan_Shipunov,Raif ,,,1,Все инструменты,,1,1,2-2,1,2,@Zhora23,VIRU
2,No Mercy,,2,0,4-0,2,1,@VladikVodopadik5,Mercy ,,,2,CDEK,,1,0,2-0,1,1,@algirad,CDEK
