1/8 финала. Формат встреч Bo3 - до двух побед,,,,,,,,,,,
Дата,Время МСК,№ Встречи,Команда 1,,Счет,Команда 2,,Судья,Трансляция,,Комментатор
7 июня,12:00,1,WINLINE,,,ДИТ,,,,,
7 июня,12:00,2,CyBeR,,,colodec,,,,,
7 июня,12:00,3,Evil Masters,,,Все инструменты,,,,,
7 июня,12:00,4,VK Esports,,,KOMPETENTNO,,,,,
7 июня,12:00,5,No Mercy,,,СМ-Клиника,,,,,
7 июня,12:00,6,CDEK,,,PowerCreeps,,,,,
7 июня,12:00,7,INFORCE-GAMING,,,SZW,,,,,
7 июня,12:00,8,Сухарики,,,РКС,,,,,
,,,,,,,,,,,
1/4 финала. Формат встреч Bo3 - до двух побед,,,,,,,,,,,
Дата,Время МСК,№ Встречи,Команда 1,,Счет,Команда 2,,Судья,Трансляция,,Комментатор
7 июня,15:30,9,WIN 1,,,WIN 2,,,,,
7 июня,15:30,10,WIN 3,,,WIN 4,,,,,
7 июня,15:30,11,WIN 5,,,WIN 6,,,,,
7 июня,15:30,12,WIN 7,,,WIN 8,,,,,
,,,,,,,,,,,
1/2 финала. Формат встреч Bo3 - до двух побед,,,,,,,,,,,
Дата,Время МСК,№ Встречи,Команда 1,,Счет,Команда 2,,Судья,Трансляция,,Комментатор
14 июня,12:00,13,WIN 9,,,WIN 10,,,,,
14 июня,12:00,14,WIN 11,,,WIN 12,,,,,
,,,,,,,,,,,
Матч за 3 место. Формат встреч Bo3 - до двух побед,,,,,,,,,,,
Дата,Время МСК,№ Встречи,Команда 1,,Счет,Команда 2,,Судья,Трансляция,,Комментатор
14 июня,15:30,15,LOSE 13,,,LOSE 14,,,,,
Финал. Формат встреч Bo3 - до двух побед,,,,,,,,,,,
14 июня,15:30,16,WIN 13,,,WIN 14,,,,,
