Группа А,,,,,,,,,,,,Группа B,,,,,,,,,
№,Команда,,В,П,Карты,Очки,МЕСТО,,,,,№,Команда,,В,П,Карты,Очки,МЕСТО,,
1,CA_UNLIMITED,,7,0,7-0,7,1,UNLIMITED ,,,,1,zxc,,6,0,6-0,6,1,zxc ,
2,Чиназес V3,,6,1,7-1,5,2,ЧН3 ,,,,2,СБЕР УБ,,4,1,4-1,4,2,Sber UB,
3,NO_DISRUPTor,,4,2,4-2,4,3,NoDIS ,,,,3,Агенты Грефа,,3,3,3-4,3,3,#Agenti_Gr,
4,Макароны,,1,5,1-5,1,6,Mac ,,,,4,SberUserTeam,,1,4,1-4,1,5,SUT ,
5,S7PS,,2,4,2-4,2,5,S7PS ,,,,5,Dazzle_Team,,2,4,2-4,2,4,DazzleTeam ,
6,DAhack,,3,4,3-4,3,4,DA ,,,,6,PSI Белова,,0,5,0-5,0,6,PSI_BELOVA ,
7,Treasury Hunters,,0,6,0-6,0,7,TRH ,,,,,,,,,,,,,
,,,,,,,,,,,,Расписание группы B. Формат встреч  Bo1 - до одной победы,,,,,,,,,
Расписание группы A. Формат встречи Bo1 - до одной победы,,,,,,,,,,,,Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья
Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья,,,17 мая,12:00,I,1,Агенты Грефа,,1:0,PSI Белова,,Артур А
17 мая,15:20,I,1,Макароны,,0:1,DAhack,,Виктория Н,,,17 мая,12:00,I,2,zxc,,1:0,Dazzle_Team,,Артем М
17 мая,12:00,I,2,Чиназес V3,,1:0,S7PS,,Лера,,,17 мая,12:00,I,3,SberUserTeam,,0:1 (ТП),СБЕР УБ,,Надя
17 мая,12:00,I,3,Treasury Hunters,,0:1,NO_DISRUPTor,,Владимир Г,,,17 мая,13:10,II,4,PSI Белова,,0:1,СБЕР УБ,,Артур А
17 мая,13:10,II,4,Treasury Hunters,,0:1,Макароны,,Виктория Н,,,17 мая,13:10,II,5,Dazzle_Team,,1:0 (ТП),SberUserTeam,,Артем М
17 мая,13:10,II,5,NO_DISRUPTor,,0:1,CA_UNLIMITED,,Лера,,,17 мая,13:10,II,6,Агенты Грефа,,0:1,zxc,,Надя
17 мая,13:10,II,6,S7PS,,0:1,DAhack,,Владимир Г,,,24 мая,12:00,III,7,zxc,,1:0(ТП),PSI Белова,,Владимир Г
17 мая,14:20,III,7,DAhack,,0:1,NO_DISRUPTor,,Виктория Н,,,24 мая,12:00,III,8,SberUserTeam,,0:1,Агенты Грефа,,Константин К
17 мая,14:20,III,8,CA_UNLIMITED,,1:0,Treasury Hunters,,Лера,,,24 мая,12:00,III,9,СБЕР УБ,,1:0,Dazzle_Team,,Анастасия Т
17 мая,14:20,III,9,Макароны,,0:1,Чиназес V3,,Владимир Г,,,24 мая,13:10,IV,10,PSI Белова,,0:1(ТП),Dazzle_Team,,Владимир Г
24 мая,12:00,IV,10,CA_UNLIMITED,,1:0,S7PS,,Лера,,,24 мая,13:10,IV,11,Агенты Грефа,,0:1,СБЕР УБ,,Константин К
24 мая,12:00,IV,11,Макароны,,0:1,NO_DISRUPTor,,Надя,,,24 мая,13:10,IV,12,zxc,,1:0,SberUserTeam,,Анастасия Т
24 мая,12:00,IV,12,Чиназес V3,,1:0 (ТП),Treasury Hunters,,Диана,,,24 мая,14:20,V,13,SberUserTeam,,1:0(ТП),PSI Белова,,Владимир Г
24 мая,13:10,V,13,NO_DISRUPTor,,0:1,Чиназес V3,,Лера,,,24 мая,14:20,V,14,СБЕР УБ,,0:1,zxc,,Константин К
24 мая,13:10,V,14,S7PS,,1:0,Макароны,,Надя,,,24 мая,14:20,V,15,Dazzle_Team,,0:1,Агенты Грефа,,Анастасия Т
24 мая,13:10,V,15,DAhack,,0:1,CA_UNLIMITED,,Диана,,,,,,,,,,,,
24 мая,14:20,VI,16,S7PS,,1:0 (ТП),Treasury Hunters,,Лера,,,,,,,,,,,,
24 мая,14:20,VI,17,DAhack,,0:1,Чиназес V3,,Надя,,,,,,,,,,,,
24 мая,14:20,VI,18,CA_UNLIMITED,,1:0,Макароны,,Диана,,,,,,,,,,,,
24 мая,15:30,VII,19,Чиназес V3,,0:1,CA_UNLIMITED,,Лера,,,,,,,,,,,,
24 мая,15:30,VII,20,Treasury Hunters,,0:1 (ТП),DAhack,,Надя,,,,,,,,,,,,
24 мая,15:30,VII,21,NO_DISRUPTor,,1:0,S7PS,,Диана,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1/4 финала. Формат встреч Bo3 - до двух побед,,,,,,,,,,,,,,,,,,,,,
Дата,Время МСК,№ Встречи,Команда 1,,Счет,Команда 2,,Судья,Трансляция,,Комментатор,,,,,,,,,,
31 мая,12:00,1,CA_UNLIMITED,,2:0,Dazzle_Team,,Дарья К,БЕЗ ТРАНСЛЯЦИИ,,,,,,,,,,,,
31 мая,12:00,2,СБЕР УБ,,2:0,NO_DISRUPTor,,Илья Л,БЕЗ ТРАНСЛЯЦИИ,,,,,,,,,,,,
31 мая,15:30,3,zxc,,2:0,DAhack,,Дарья К,БЕЗ ТРАНСЛЯЦИИ,,,,,,,,,,,,
31 мая,13:00,4,Чиназес V3,,2:0,Агенты Грефа,,Кирилл Ч,БЕЗ ТРАНСЛЯЦИИ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1/2 финала. Формат встреч Bo3 - до двух побед,,,,,,,,,,,,,,,,,,,,,
Дата,Время МСК,№ Встречи,Команда 1,,Счет,Команда 2,,Судья,Трансляция,,Комментатор,,,,,,,,,,
7 июня,12:00,5,CA_UNLIMITED,,,СБЕР УБ,,,,,,,,,,,,,,,
7 июня,12:00,6,zxc,,,Чиназес V3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Матч за 3 место. Формат встреч Bo3 - до двух побед,,,,,,,,,,,,,,,,,,,,,
